,user_id,posted,recommend
0,76561197970982479,2011-11-05,True
1,76561197970982479,2011-07-15,True
2,76561197970982479,2011-04-21,True
3,js41637,2014-06-24,True
4,js41637,2013-09-08,True
5,js41637,2013-11-29,True
6,evcentric,,True
7,evcentric,2015-12-04,True
8,evcentric,2014-11-03,True
9,evcentric,2014-10-15,True
10,evcentric,2014-10-15,True
11,evcentric,2014-10-15,True
12,doctr,2013-10-14,True
13,doctr,2012-07-28,True
14,doctr,2012-06-02,True
15,doctr,2014-06-29,True
16,doctr,2012-11-22,True
17,doctr,2012-02-23,True
18,maplemage,2014-04-15,True
19,maplemage,2013-12-23,True
20,maplemage,2014-03-14,True
21,maplemage,2013-07-11,True
22,Wackky,2014-05-05,True
23,Wackky,2012-12-24,True
24,Wackky,2012-10-21,True
25,Wackky,2012-03-20,True
26,Wackky,2012-03-09,True
27,76561198079601835,,True
28,MeaTCompany,,True
29,76561198089393905,2015-02-01,True
30,76561198089393905,2014-06-20,True
31,76561198156664158,,True
32,76561198077246154,,True
33,76561198077246154,2014-08-25,True
34,WeiEDKrSat,2013-12-25,True
35,thequeenpanda,2012-06-23,True
36,death-hunter,2015-09-05,True
37,death-hunter,2015-03-30,True
38,death-hunter,2014-02-19,True
39,DJKamBer,2014-07-14,True
40,DJKamBer,2013-04-27,True
41,DJKamBer,2015-07-20,True
42,DJKamBer,2013-11-04,True
43,DJKamBer,2013-07-12,True
44,DJKamBer,2012-08-19,True
45,Rainbow-Dashie,2015-06-19,True
46,Rainbow-Dashie,2014-09-20,True
47,Rainbow-Dashie,2014-09-07,True
48,76561198043472122,2014-12-19,False
49,MarbleShrine,2015-02-17,True
50,PPanther,2014-06-07,True
51,devvonst,2014-02-12,True
52,devvonst,2014-02-09,True
53,devvonst,2015-10-31,True
54,Fr0stedLine,,True
55,starkillershadow553,2015-02-04,True
56,starkillershadow553,,True
57,starkillershadow553,2014-04-05,True
58,76561198058373434,2015-01-08,True
59,76561198048353577,2015-10-26,True
60,76561198048353577,,True
61,76561198048353577,2013-03-20,True
62,76561198066046412,2015-12-28,False
63,76561198066046412,2015-05-19,True
64,tru_mu_,2015-12-15,True
65,76561198070565427,,True
66,76561198070565427,2015-08-21,True
67,76561198070565427,2014-10-17,True
68,76561198070565427,2014-06-27,False
69,76561198070565427,2014-04-28,True
70,SavageEeEe,2015-11-12,True
71,76561198076909484,2014-06-18,True
72,KanadeTheNeko,2014-11-20,True
73,KanadeTheNeko,2014-05-29,True
74,Leaf_Light_Moscow,,True
75,GoAwayZach,2014-12-29,True
76,76561198054540475,2015-02-13,True
77,76561198054540475,2014-12-26,True
78,76561198054540475,2014-02-04,True
79,76561198085547365,,True
80,76561198085547365,,True
81,76561198061252210,2015-05-21,True
82,OfficialShroomsy,2013-12-06,True
83,boydeer,2014-05-12,True
84,boydeer,2015-08-24,False
85,VVillis,2015-01-06,True
86,76561198083226897,2015-12-22,True
87,76561198075277292,2015-06-23,True
88,76561198075277292,2015-09-11,True
89,76561198028895010,2013-04-22,True
90,76561198028895010,2012-05-27,True
91,76561198170198366,,True
92,diego9031,,True
93,diego9031,,True
94,diego9031,2015-12-05,True
95,diego9031,2015-10-04,True
96,diego9031,2015-10-03,True
97,diego9031,2015-08-13,True
98,diego9031,2015-02-22,True
99,diego9031,2015-01-14,True
100,diego9031,2013-12-14,True
101,diego9031,2013-12-01,True
102,jarrodtrim,2012-02-11,True
103,76561198078738103,,True
104,76561198067936203,2015-03-12,True
105,76561198079770573,2015-10-14,True
106,76561198087586464,2013-10-27,True
107,Derp-e,2015-11-27,True
108,76561198070194565,2014-10-09,True
109,76561198070194565,,True
110,76561198070194565,,True
111,76561198070194565,,True
112,76561198070194565,,True
113,76561198070194565,,True
114,76561198070194565,2015-11-09,True
115,Rivtex,2015-12-23,True
116,UTNerd24,2014-05-06,True
117,UTNerd24,2015-12-02,True
118,UTNerd24,2015-06-06,True
119,UTNerd24,2015-09-29,True
120,UTNerd24,2014-09-08,True
121,UTNerd24,2013-12-15,True
122,sandwiches1,2015-11-23,False
123,76561198138053270,2014-06-01,True
124,lucaswerg,2014-07-11,True
125,lucaswerg,2014-11-14,True
126,Life-Of-Blu,2015-11-13,True
127,Life-Of-Blu,2013-12-15,True
128,CaptianAutismo,2015-12-17,True
