,user_id,genres,playtime_forever
486214,Sp3ctre,Action,1699307
635657,shinomegami,Action,1580428
472869,REBAS_AS_F-T,Action,1456212
492828,Terminally-Chill,Action,1065742
413434,DownSyndromeKid,Action,1061193
472870,REBAS_AS_F-T,Adventure,2191551
635658,shinomegami,Adventure,767160
418429,Evilutional,Adventure,662103
486215,Sp3ctre,Adventure,654378
654190,tobscene,Adventure,640783
480081,ScottyG555,Animation &amp; Modeling,168314
506999,XeroChances,Animation &amp; Modeling,74389
417045,EmperorFaiz,Animation &amp; Modeling,67896
160875,76561198059330972,Animation &amp; Modeling,66104
413782,Dracaerys,Animation &amp; Modeling,55829
448484,Lickidactyl,Audio Production,109916
586879,kong6456,Audio Production,65019
51875,76561198022404680,Audio Production,20992
441719,KJ72,Audio Production,19567
555264,fireballs69,Audio Production,17110
472873,REBAS_AS_F-T,Casual,1224933
571510,idonothack,Casual,781178
635661,shinomegami,Casual,671493
656566,tsunamitad,Casual,665425
155712,76561198058230663,Casual,646121
480083,ScottyG555,Design &amp; Illustration,168314
507614,Xyphien,Design &amp; Illustration,135765
72775,76561198035718256,Design &amp; Illustration,115102
621412,pretentiouswutangratz,Design &amp; Illustration,105617
6089,3197,Design &amp; Illustration,79237
18097,76561197978756659,Early Access,316969
606872,mutatedwombat,Early Access,276628
564475,guwopguccimane,Early Access,249369
63187,76561198029584773,Early Access,216042
414363,Drxoid,Early Access,194166
160879,76561198059330972,Education,65427
322259,76561198089082829,Education,42357
422122,Forbieden,Education,26035
41806,76561198012909706,Education,18779
480395,SeedyDog,Education,10276
571514,idonothack,Free to Play,808241
635665,shinomegami,Free to Play,788553
418433,Evilutional,Free to Play,757973
654196,tobscene,Free to Play,498268
582030,jwatt1991,Free to Play,469357
472878,REBAS_AS_F-T,Indie,2402994
578861,jimmynoe,Indie,1139510
635666,shinomegami,Indie,1111013
487861,Steamified,Indie,998908
571515,idonothack,Indie,834678
418435,Evilutional,Massively Multiplayer,688260
635667,shinomegami,Massively Multiplayer,638699
23509,76561197992542501,Massively Multiplayer,462374
86485,76561198041627248,Massively Multiplayer,457103
125763,76561198050414588,Massively Multiplayer,454132
483968,Sky_Wolf,Photo Editing,21885
404401,Colidos,Photo Editing,7521
125050,76561198050235011,Photo Editing,5450
587921,kuroneko-blackcat,Photo Editing,5299
473148,ROTJblackjesus,Photo Editing,4782
635668,shinomegami,RPG,1060592
654199,tobscene,RPG,906936
472881,REBAS_AS_F-T,RPG,886204
418437,Evilutional,RPG,680646
655931,triggernyar,RPG,608768
413447,DownSyndromeKid,Racing,743445
26251,76561197995725436,Racing,193206
103751,76561198045342815,Racing,136459
643554,stopgovtcorruption,Racing,136395
552944,express157,Racing,122892
578865,jimmynoe,Simulation,1062130
534994,clawbot44,Simulation,798416
418438,Evilutional,Simulation,684723
472883,REBAS_AS_F-T,Simulation,676540
656575,tsunamitad,Simulation,661309
448493,Lickidactyl,Software Training,109916
586888,kong6456,Software Training,65019
51885,76561198022404680,Software Training,21654
429649,HappyRussian,Software Training,16662
350761,76561198096741403,Software Training,12857
26253,76561197995725436,Sports,193206
48522,76561198019112245,Sports,182988
197500,76561198065902279,Sports,126572
5485,29123,Sports,126444
552946,express157,Sports,122179
635673,shinomegami,Strategy,1141546
627610,rinco69,Strategy,613757
183049,76561198063368177,Strategy,613089
78107,76561198038513068,Strategy,605443
643893,streetjimmy,Strategy,559830
248613,76561198073642113,Utilities,207651
626863,rexyman52,Utilities,145729
238129,76561198072177030,Utilities,144853
448496,Lickidactyl,Utilities,109916
172541,76561198061456632,Utilities,97034
480093,ScottyG555,Video Production,168314
448497,Lickidactyl,Video Production,109916
515435,amarethepegasus,Video Production,77322
507010,XeroChances,Video Production,74389
392170,AussieAidan,Video Production,68163
507628,Xyphien,Web Publishing,142964
72788,76561198035718256,Web Publishing,115083
621422,pretentiouswutangratz,Web Publishing,105617
6098,3197,Web Publishing,79237
602338,minakazu,Web Publishing,75240
