,release_date,developer,price
88310,2018-01-04,Kotoshiro,4.99
88311,2018-01-04,Secret Level SRL,0.0
88312,2017-07-24,Poolians.com,0.0
88313,2017-12-07,彼岸领域,0.99
88314,,,2.99
88315,2018-01-04,Trickjump Games Ltd,3.99
88316,2018-01-04,Poppermost Productions,9.99
88317,2018-01-04,Poppermost Productions,18.99
88318,2018-01-04,Poppermost Productions,29.99
88319,2018-01-04,RewindApp,0.0
88320,,Qucheza,0.0
88321,,,0.0
88322,2018-01-04,Stegalosaurus Game Development,10.99
88323,2018-01-04,Copperpick Studio,3.99
88324,2018-01-03,Ghulam Jewel,2.99
88325,2018-01-03,Apillo,1.59
88326,2018-01-03,Poppermost Productions,14.99
88327,2018-01-03,Apillo,1.99
88328,2018-01-03,Poppermost Productions,59.99
88329,,,4.99
88330,,,2.99
88331,2018-01-03,Tero Lunkka,0.99
88332,,,0.99
88333,2017-12-22,FrozenPepper,2.99
88334,2017-12-23,FrozenPepper,2.99
88335,2018-01-03,Casey Labrack,4.99
88336,2018-01-03,,4.99
88337,1997-06-30,Stainless Games Ltd,9.99
88338,1998-11-08,Valve,9.99
88339,2016-11-25,dev4play,1.99
88340,,,3.99
88341,2018-01-01,BlueLine Games,0.0
88342,2018-01-01,Games by Brundle,0.0
88343,2018-01-01,ETGgames,0.99
88344,2018-01-01,ProjectorGames,0.0
88345,2017-12-30,Unknown Indie Devs,0.0
88346,,,0.0
88347,2018-01-01,The Commander,8.99
88348,2018-01-01,"lalalaZero,Urbanoff",0.99
88349,2006-07-06,Strategy First,6.99
88350,2006-07-06,Strategy First,6.99
88351,2006-07-11,Outerlight Ltd.,9.99
88352,,Zachary M Thomas,0.0
88353,,Breakout Studio,0.0
88354,,"zha7,Phaedruns,Yingke Wu",0.0
88355,,,0.0
88356,2017-12-29,Ultraint,7.99
88357,2018-03-30,Seth Albertus,0.0
88358,2017-12-29,TPM.CO SOFT WORKS,10.99
88359,2017-12-29,Wonderbox Games,9.99
88360,2017-12-29,Wonderbox Games,9.99
88361,,,29.99
88362,2017-12-30,Mad Unicorn Games,1.99
88363,,,0.0
88364,2017-12-29,Emanon Studios,0.99
88365,2005-08-09,GlyphX Games,9.99
88366,2006-09-29,Introversion Software,9.99
88367,2006-11-20,Outerlight Ltd.,9.99
88368,2006-11-29,Facepunch Studios,9.99
88369,2006-11-24,SimBin,39.99
88370,2006-12-14,Unknown Worlds Entertainment,0.0
88371,2006-12-19,"CINEMAX, s.r.o.",4.99
88372,2003-08-23,Sick Puppies,4.99
88373,2006-12-21,Deepred,4.99
88374,2006-04-17,Funcom,19.99
88375,2006-08-01,Bugbear Entertainment,9.99
88376,2005-07-12,Bugbear Entertainment,7.49
88377,2007-06-26,"CAPCOM Co., Ltd.",14.99
88378,2006-07-24,"FireFly Studios,Firaxis Games",9.99
88379,2002-11-12,Arkane Studios,4.99
88380,2000-11-17,Funcom,9.99
88381,2006-07-24,Firaxis Games,4.99
88382,2003-10-23,PopTop,9.99
88383,2006-10-16,"Firaxis Games,Feral Interactive (Mac)",9.99
88384,,,19.99
88385,1998-10-31,PopTop,4.99
88386,2007-06-01,Elephant Games,4.99
88387,1995-04-01,"MicroProse Software, Inc",4.99
88388,2007-06-05,"Crystal Dynamics,Feral Interactive (Mac)",8.99
88389,2006-05-23,"CAPCOM Co., Ltd.",19.99
88390,2006-10-17,Telltale Games,19.99
88391,1996-06-17,id Software,4.99
88392,2007-06-29,Freegamer,0.0
88393,2006-12-20,Telltale Games,19.99
88394,1995-04-30,id Software,4.99
88395,1995-06-01,id Software,14.99
88396,1994-05-05,id Software,4.99
88397,1994-08-03,id Software,4.99
88398,2001-11-20,Gray Matter Studios,4.99
88399,1997-02-28,Ritual Entertainment,2.99
88400,1993-10-10,id Software,2.99
88401,2003-09-09,Terminal Reality,9.99
88402,2007-08-03,Rogue Entertainment,2.99
88403,2007-05-31,id Software,4.99
88404,2007-03-20,Metamorf,4.99
88405,2006-01-01,Relic Entertainment,12.99
88406,2007-08-21,"2K Boston,2K Australia",19.99
88407,2006-01-01,Relic Entertainment,12.99
88408,2006-10-09,Relic Entertainment,12.99
88409,2004-09-22,The Creative Assembly,9.99
88410,2006-06-26,The Creative Assembly,4.99
88411,2007-12-14,Big Fish Games,6.99
88412,1998-06-30,Rockstar North,0.0
88413,1999-10-25,Rockstar North,0.0
88414,2004-04-20,Rockstar North,9.99
88415,2003-07-01,Rockstar San Diego,9.99
88416,2003-10-14,Remedy Entertainment,9.99
88417,2006-04-07,Crystal Dynamics,6.99
88418,2001-07-25,Remedy Entertainment,9.99
88419,2008-10-28,EA Los Angeles,19.99
88420,2007-10-10,Infinite Interactive,9.99
88421,2007-10-23,Momentum Digital Media Technologies,9.99
